Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
WCLD,WisdomTree Cloud Computing Fund,Equity,"$662,486,000.00",-38.18%,"579,815",$32.06,6.51%,No,False,7.76%,-6.64%,-35.30%,N/A,N/A,"-$44,666,372.50","-$2,722,530.00","$25,957,175.00","-$28,990,620.00","$866,966,010.64","$866,966,010.64",Technology Equities,2019-09-06,0.45%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.13,77,18.71%,40%,20%,1099,$26.89,$32.47,$30.58,$32.88,48.35,N/A,N/A,N/A,N/A,N/A,N/A,8.21,63.05%,75.07%,7.92,0.00%,1.19%
LGLV,SPDR SSGA US Large Cap Low Volatility Index ETF,Equity,"$661,427,000.00",-7.09%,"44,757",$139.50,1.44%,No,False,1.54%,1.09%,6.28%,44.09%,76.77%,"$42,234,776.45","-$4,125,322.62","-$1,203,306.45","$71,204,225.27","$124,405,326.30","$449,363,386.77",Volatility Hedged Equity,2013-02-20,0.12%,N/A,$2.83,2021-09-17,$0.50,1.97%,25.39,0.85,150,12.94%,40%,20%,1099,$131.30,$139.81,$137.65,$140.45,52.82,B-,A,A,A-,A,C+,8.53,88.12%,81.79%,349.33,10.35%,5.06%
EPS,WisdomTree U.S. LargeCap Fund,Equity,"$659,489,000.00",-10.18%,"55,668",$45.08,1.46%,No,False,2.33%,1.77%,-0.32%,55.50%,77.75%,"$52,222,080.00",$0.00,"$8,295,315.00","$116,900,385.00","$285,297,135.00","$383,635,333.17",Large Cap Growth Equities,2007-02-23,0.08%,E*TRADE,$0.74,2021-09-24,$0.19,1.51%,19.91,1.04,505,27.94%,40%,20%,1099,$41.84,$45.31,$44.46,$45.39,51.33,C+,B+,A,C+,B-,A,7.89,50.33%,67.60%,131.47,6.68%,4.81%
JHEM,John Hancock Multifactor Emerging Markets ETF,Equity,"$657,798,000.00",-8.92%,"24,977",$26.45,1.61%,No,False,2.99%,1.21%,-15.86%,16.21%,N/A,"$24,479,060.00",$0.00,$0.00,"$41,935,020.00","-$170,839,300.00","$598,644,260.00",Emerging Markets Equities,2018-09-27,0.49%,N/A,$0.55,2021-06-25,$0.24,1.83%,18.04,0.85,838,18.13%,40%,20%,1099,$24.29,$26.41,$26.30,$26.53,53.55,N/A,N/A,N/A,N/A,N/A,N/A,5.68,34.97%,30.46%,429.02,3.60%,5.46%
DVYE,iShares Emerging Markets Dividend ETF,Equity,"$655,750,000.00",-19.45%,"216,077",$30.78,1.32%,No,False,2.09%,1.02%,-20.44%,-4.86%,1.53%,"$10,609,680.00","-$18,093,840.00","-$21,108,270.00","$2,328,005.00","$329,928,220.00","$571,446,410.00",Emerging Markets Equities,2012-02-23,0.49%,Fidelity,$2.67,2021-09-24,$0.68,6.83%,8.62,0.86,108,17.06%,40%,20%,1099,$28.56,$30.94,$30.51,$30.92,50.07,B+,A-,B-,B+,A,B,4.18,0.82%,10.48%,546.73,2.63%,5.07%
UYG,ProShares Ultra Financials,Equity,"$652,876,000.00",-20.09%,"51,565",$54.06,3.07%,No,2x,3.21%,1.88%,-8.52%,49.16%,91.21%,"-$29,930,415.00","$2,618,070.00","$725,375.00","-$60,192,330.00","-$164,119,825.00","-$408,152,749.76",Leveraged Equities,2007-01-30,0.95%,N/A,$0.15,2021-09-22,$0.02,0.21%,0.00,2.20,239,51.58%,40%,20%,1099,$45.26,$54.93,$52.57,$54.80,50.47,B+,B-,B-,A-,N/A,N/A,7.23,58.57%,52.39%,48.58,7.55%,2.88%
KRMA,Global X Conscious Companies ETF,Equity,"$648,072,000.00",-14.07%,"44,037",$29.62,1.89%,No,False,2.67%,0.47%,-2.74%,49.62%,81.59%,"$86,017,951.18","$41,137.64","$20,101.34","$234,147,953.34","$478,682,462.61","$493,201,843.64",Large Cap Growth Equities,2016-07-11,0.43%,N/A,$0.28,2021-06-29,$0.12,0.84%,27.73,1.02,184,19.19%,40%,20%,1099,$27.32,$29.75,$29.05,$29.90,50.88,N/A,B+,N/A,N/A,N/A,N/A,8.45,85.08%,80.10%,130.87,1.66%,7.90%
FGD,First Trust Dow Jones Global Select Dividend Index Fund,Equity,"$646,480,000.00",-0.02%,"180,412",$25.02,1.42%,No,False,0.95%,4.34%,-3.79%,32.23%,29.86%,"$143,393,300.00","-$6,180,500.00","-$6,180,500.00","$190,472,150.00","$166,947,000.00","$294,915,700.00",Global Equities,2007-11-21,0.57%,N/A,$1.20,2021-09-23,$0.35,4.68%,7.80,1.03,102,16.72%,40%,20%,1099,$22.92,$25.22,$24.79,$25.13,56.34,A-,B-,A,B+,A,B-,8.81,62.14%,86.47%,197.43,11.55%,4.67%
ACES,ALPS Clean Energy ETF,Equity,"$642,200,000.00",-14.93%,"107,543",$54.52,4.93%,No,False,5.72%,8.80%,-20.82%,109.23%,N/A,"-$68,077,750.00","-$30,305,500.00","-$47,752,250.00","-$15,227,250.00","$647,948,750.00","$705,254,250.00",Alternative Energy Equities,2018-06-29,0.55%,N/A,$0.42,2021-09-23,$0.11,0.52%,31.27,1.23,49,48.71%,40%,20%,1099,$44.05,$55.01,$52.66,$55.55,53.92,N/A,N/A,N/A,N/A,N/A,N/A,9.08,96.48%,90.67%,190.11,0.00%,52.92%
FDRR,Fidelity Dividend ETF for Rising Rates,Equity,"$634,205,000.00",-5.77%,"74,289",$42.46,1.02%,No,False,1.43%,1.85%,2.47%,54.04%,74.44%,"$115,663,235.00",$0.00,"$8,494,025.00","$184,615,415.00","$184,810,665.00","$423,728,590.00",Large Cap Blend Equities,2016-09-12,0.29%,N/A,$0.93,2021-09-17,$0.26,2.12%,19.11,0.99,110,28.31%,40%,20%,1099,$39.84,$42.73,N/A,N/A,51.86,N/A,N/A,N/A,N/A,N/A,N/A,8.32,73.40%,77.33%,163.05,6.90%,4.23%
BLOK,Amplify Transformational Data Sharing ETF,Equity,"$633,297,000.00",-42.84%,"388,980",$22.96,3.10%,No,False,3.70%,-14.17%,-44.15%,56.55%,N/A,"$6,696,000.00",$0.00,"-$28,124,000.00","$285,207,000.00","$1,133,494,000.00","$1,267,862,480.00",Technology Equities,2018-01-16,0.71%,N/A,$0.66,2020-12-29,$0.66,1.09%,25.56,1.32,51,43.78%,40%,20%,1099,$19.76,$25.51,N/A,N/A,41.67,N/A,N/A,N/A,N/A,N/A,N/A,5.68,16.13%,30.41%,106.75,0.00%,1.96%
EMQQ,EMQQ The Emerging Markets Internet & Ecommerce ETF,Equity,"$628,715,000.00",-25.43%,"237,795",$31.99,5.06%,No,False,8.04%,4.24%,-49.51%,9.14%,1.14%,"-$110,596,941.00","-$2,930,334.99","-$8,383,482.42","-$283,716,328.55","$579,174,417.12","$924,664,081.75",Emerging Markets Equities,2014-11-13,0.86%,N/A,$0.11,2020-12-28,$0.11,0.22%,0.00,0.93,131,65.52%,40%,20%,1099,$25.89,$31.46,$31.24,$32.37,55.72,B-,C,A,B-,C,C+,7.62,47.36%,61.13%,84.82,0.00%,1.52%
PSI,Invesco Dynamic Semiconductors ETF,Equity,"$625,741,000.00",-22.32%,"58,766",$119.14,3.55%,No,False,5.70%,8.99%,-4.04%,150.46%,168.61%,"-$54,288,600.00","$112,500.00","$8,821,110.00","$51,615,670.00","$288,160,610.00","$152,790,310.00",Technology Equities,2005-06-23,0.56%,N/A,$0.19,2021-09-20,$0.06,0.13%,28.07,1.27,32,46.52%,40%,20%,1099,$103.63,$118.00,$115.93,$120.76,54.44,C+,B-,B-,C+,C+,C+,7.23,40.18%,52.44%,88.74,0.00%,4.08%
DWM,WisdomTree International Equity Fund,Equity,"$625,155,000.00",-4.37%,"84,286",$51.43,1.64%,No,False,0.98%,3.23%,-4.87%,15.91%,15.17%,"$45,995,895.00",$0.00,"$4,980,270.00","$62,418,265.00","-$182,526,805.00","-$80,847,035.00",Foreign Large Cap Equities,2006-06-16,0.48%,E*TRADE,$1.87,2021-09-24,$0.54,3.45%,14.56,0.81,875,14.73%,40%,20%,1099,$47.31,$51.81,$50.97,$51.69,54.99,B+,B-,B,A,A-,A-,9.21,81.68%,92.36%,202.88,14.82%,7.19%
LVHD,Legg Mason Low Volatility High Dividend ETF,Equity,"$611,368,000.00",-0.52%,"123,329",$39.49,0.38%,No,False,0.23%,2.42%,9.49%,40.67%,53.61%,"-$157,035,617.69","$5,919,515.39","-$110,695,530.25","-$188,891,514.81","-$182,041,133.75","$296,147,894.44",Volatility Hedged Equity,2015-12-29,0.27%,N/A,$0.99,2021-11-04,$0.23,2.62%,22.43,0.81,100,25.42%,40%,20%,1099,$37.79,$39.82,$39.02,$39.73,53.36,N/A,B+,N/A,N/A,N/A,N/A,7.75,41.12%,64.22%,481.5,18.10%,8.01%
RHS,Invesco S&P 500® Equal Weight Consumer Staples ETF,Equity,"$608,348,000.00",-0.39%,"42,618",$168.42,0.52%,No,False,-0.21%,-3.48%,3.74%,40.02%,45.00%,"$154,921,080.00","$1,675,890.00","$31,825,070.00","$128,007,820.00","$76,263,460.00","-$21,559,940.00",Consumer Staples Equities,2006-11-01,0.40%,Charles Schwab,$3.35,2021-09-20,$0.96,2.09%,18.32,0.69,33,34.35%,40%,20%,1099,$161.11,$179.19,$165.75,$169.85,46.48,B,B+,A-,A,A,B,9.37,98.82%,93.82%,62.84,15.81%,15.61%
EWX,SPDR S&P Emerging Markets Small Cap ETF,Equity,"$607,226,000.00",-9.44%,"68,214",$53.71,1.76%,No,False,3.31%,1.17%,-8.96%,34.81%,32.71%,"$12,491,803.30",$0.00,$0.00,"$43,157,377.50","$24,282,300.50","$89,104,921.10",Emerging Markets Equities,2008-05-12,0.65%,2 Platforms,$1.26,2021-06-21,$0.45,2.07%,12.09,0.89,2390,3.06%,40%,20%,1099,$49.59,$53.47,$53.17,$54.06,53.45,B+,B,A-,A,B+,A,0.0,N/A,N/A,N/A,N/A,N/A
JVAL,JPMorgan U.S. Value Factor ETF,Equity,"$606,128,000.00",-6.72%,"138,108",$35.73,1.48%,No,False,1.77%,2.58%,-0.48%,55.86%,N/A,"$189,842,000.00",$0.00,"$67,820,500.00","-$455,123,000.00","$495,171,500.00","$521,420,000.00",Large Cap Value Equities,2017-11-08,0.12%,N/A,$0.65,2021-09-21,$0.28,1.77%,14.75,1.13,340,16.50%,40%,20%,1099,$33.37,$35.94,$35.26,$35.97,52.59,N/A,N/A,N/A,N/A,N/A,N/A,7.35,21.41%,55.08%,164.11,6.09%,4.69%
DWX,SPDR S&P International Dividend ETF,Equity,"$605,115,000.00",-3.23%,"79,928",$37.51,0.94%,No,False,0.21%,0.94%,-4.47%,11.65%,15.75%,"$8,330,926.30",$0.00,"-$1,816,580.60","-$12,873,713.40","-$173,647,776.35","-$501,315,912.60",Foreign Large Cap Equities,2008-02-12,0.45%,Charles Schwab,$1.37,2021-09-20,$0.41,3.53%,12.98,0.70,101,21.90%,40%,20%,1099,$35.72,$37.97,$37.23,$37.66,50.84,A-,B,C,C+,A+,B,9.24,78.81%,92.61%,393.52,12.17%,15.80%
GSUS,Goldman Sachs MarketBeta U.S. Equity ETF,Equity,"$605,105,000.00",-13.24%,"72,718",$56.87,1.95%,No,False,3.04%,0.87%,-1.45%,N/A,N/A,"$238,971,500.00","$33,831,500.00","$36,497,000.00","$267,907,000.00","$566,917,000.00","$566,917,000.00",Large Cap Growth Equities,2020-05-12,0.07%,N/A,$0.73,2021-09-24,$0.18,1.12%,25.61,0.93,535,26.54%,40%,20%,1099,$52.27,$57.12,$55.99,$57.31,50.99,N/A,N/A,N/A,N/A,N/A,N/A,8.0,61.26%,70.19%,138.68,6.28%,5.75%
BIZD,VanEck BDC Income ETF,Equity,"$603,465,000.00",-3.13%,"350,849",$16.35,0.55%,No,False,1.74%,-2.50%,2.10%,37.13%,45.32%,"$104,248,665.00","$1,219,942.50","-$3,145,427.50","$216,378,355.00","$394,637,368.40","$427,744,754.05",Financials Equities,2013-02-12,10.07%,N/A,$1.37,2021-10-01,$0.35,7.73%,4.65,1.36,26,61.81%,40%,20%,1099,$15.43,$16.85,$16.25,$16.40,47.89,B-,C,N/A,A-,A,C+,0.0,N/A,N/A,N/A,N/A,N/A
PWB,Invesco Dynamic Large Cap Growth ETF,Equity,"$601,929,000.00",-18.24%,"45,135",$66.03,3.14%,No,False,4.38%,3.59%,-6.66%,46.33%,85.76%,"-$65,690,620.00","$1,937,520.00","-$12,036,750.00","-$300,478,490.00","-$353,720,840.00","-$208,768,740.00",Large Cap Growth Equities,2005-03-03,0.56%,N/A,$0.05,2021-09-20,$0.01,0.06%,43.04,0.92,52,35.36%,40%,20%,1099,$58.25,$65.65,$64.65,$66.72,53.31,B+,B-,A,B+,B-,C+,8.18,75.08%,74.41%,91.11,0.00%,7.98%
FCOM,Fidelity MSCI Communication Services Index ETF,Equity,"$601,081,000.00",-22.55%,"225,077",$39.72,2.37%,No,False,3.73%,2.69%,-24.08%,27.28%,29.15%,"-$44,759,055.00","-$1,961,305.00","-$133,586,925.00","$52,287,045.00","$208,168,575.00","$432,621,510.00",Large Cap Growth Equities,2013-10-21,0.08%,Fidelity,$0.35,2021-09-17,$0.12,0.66%,27.79,0.97,111,64.62%,40%,20%,1099,$36.72,$39.81,$39.02,$40.08,48.91,N/A,A,N/A,N/A,N/A,N/A,3.86,25.30%,8.58%,14.17,0.00%,0.05%
EES,WisdomTree U.S. SmallCap Fund,Equity,"$601,004,000.00",-10.41%,"117,460",$46.05,1.84%,No,False,2.79%,3.83%,-7.40%,44.16%,52.68%,"$20,194,775.00","-$2,259,415.00","-$4,426,185.00","$28,839,570.00","-$200,236,900.00","$41,192,745.00",Small Cap Blend Equities,2007-02-23,0.38%,E*TRADE,$0.54,2021-09-24,$0.16,1.01%,12.23,1.39,950,6.91%,40%,20%,1099,$42.02,$45.90,$45.46,$46.35,53.86,B+,C+,B+,B,B,A-,4.8,6.18%,22.92%,114.18,4.07%,5.99%
INDY,iShares India 50 ETF,Equity,"$600,136,000.00",-6.68%,"46,998",$44.15,2.32%,No,False,3.32%,-1.38%,-0.18%,21.75%,40.00%,"-$24,115,295.00","-$19,519,695.00","-$19,519,695.00","-$30,839,585.00","-$400,191,975.00","-$440,314,480.00",Asia Pacific Equities,2009-11-18,0.90%,Fidelity,$0.01,2021-06-10,$0.01,0.01%,31.65,0.80,54,57.63%,40%,20%,1099,$41.38,$43.88,$43.74,$44.35,52.16,A-,C,C+,A-,C,B-,6.64,84.77%,42.81%,511.72,7.15%,3.91%
EWS,iShares MSCI Singapore ETF,Equity,"$596,912,000.00",-10.33%,"1,060,411",$19.18,1.21%,No,False,0.79%,-1.79%,-15.30%,-4.09%,-1.06%,"$130,079,495.00",$0.00,"-$6,492,295.00","$23,002,720.00","$123,109,965.00","$135,074,980.00",Asia Pacific Equities,1996-03-12,0.50%,N/A,$0.64,2021-06-10,$0.28,2.65%,19.67,0.90,23,70.12%,40%,20%,1099,$18.06,$19.47,N/A,N/A,48.67,A,B+,C+,A,A-,C+,6.02,16.14%,35.28%,89.38,6.70%,14.53%
XTN,SPDR S&P Transportation ETF,Equity,"$595,497,000.00",-15.76%,"97,026",$79.29,2.48%,No,False,2.83%,-2.72%,-11.98%,45.63%,56.79%,"-$123,101,005.63","-$773,372.48","-$119,975,520.26","$23,119,415.66","$395,821,968.45","$344,078,721.29",Transportation Equities,2011-01-26,0.35%,N/A,$1.05,2021-09-20,$0.11,1.08%,13.84,1.34,53,25.82%,40%,20%,1099,$72.28,$81.04,$78.01,$79.98,49.96,A-,A+,A+,A-,A-,A+,6.93,40.83%,47.28%,621.66,0.00%,0.08%
GRID,First Trust Nasdaq Clean Edge Smart GRID Infrastructure Index,Equity,"$594,274,000.00",-14.00%,"56,012",$88.18,3.34%,No,False,3.55%,3.63%,-2.42%,109.81%,113.46%,"-$87,780,900.00","-$12,940,500.00","-$62,370,100.00","$277,833,150.00","$583,592,950.00","$589,385,050.00",Alternative Energy Equities,2009-11-17,0.63%,N/A,$0.76,2021-09-23,$0.22,0.73%,31.12,1.19,80,58.78%,40%,20%,1099,$78.56,$87.60,$86.63,$88.96,54.95,C,C+,A+,B-,C,B-,8.65,80.18%,83.85%,112.08,4.31%,19.51%
TPYP,Tortoise North American Pipeline Fund,Equity,"$590,495,000.00",27.78%,"86,982",$28.10,0.93%,No,False,2.85%,8.54%,28.71%,42.37%,53.22%,"$39,643,060.00","$4,168,200.00","$16,180,000.00","-$6,708,840.00","$150,745,230.00","$395,892,805.00",Energy Equities,2015-06-30,0.40%,N/A,$1.05,2021-09-22,$0.29,4.54%,18.96,1.27,53,58.12%,40%,20%,1099,$25.40,$28.01,$27.77,$28.27,63.09,B,A+,N/A,N/A,B,B,8.44,79.73%,80.06%,859.37,6.98%,0.11%
CFA,VictoryShares US 500 Volatility Wtd ETF,Equity,"$586,242,000.00",-8.85%,"17,452",$70.53,1.64%,No,False,1.84%,1.85%,0.55%,49.40%,70.94%,"-$29,716,090.00",$0.00,"-$7,053,085.00","-$107,666,530.00","-$337,873,980.00","$50,928,335.00",Large Cap Blend Equities,2014-07-02,0.35%,N/A,$0.73,2021-11-08,$0.04,0.96%,31.21,1.04,502,3.95%,40%,20%,1099,$65.50,$70.76,$69.60,$71.00,52.37,B+,B,B+,A-,B-,N/A,8.03,65.02%,70.92%,281.47,8.02%,5.95%
CNYA,iShares MSCI China A ETF,Equity,"$583,915,000.00",-19.40%,"225,466",$35.14,2.69%,No,False,5.12%,6.13%,-21.24%,36.60%,41.40%,"-$130,494,570.00",$0.00,"-$14,522,670.00","$110,601,540.00","$457,765,725.00","$597,318,185.00",China Equities,2016-06-13,0.60%,N/A,$0.43,2021-06-10,$0.07,0.98%,20.82,0.60,495,19.67%,40%,20%,1099,$31.57,$34.92,$34.77,$35.32,54.67,N/A,N/A,N/A,N/A,N/A,N/A,1.55,0.65%,0.95%,282.73,12.66%,8.18%
VTWG,Vanguard Russell 2000 Growth ETF,Equity,"$583,800,000.00",-23.18%,"22,105",$163.81,3.08%,No,False,3.92%,0.35%,-23.89%,22.42%,39.86%,"$44,270,902.22","$11,818,500.00","$34,887,279.07","$56,166,152.22","$312,207,152.22","$394,720,652.22",Small Cap Growth Equities,2010-09-20,0.15%,Vanguard,$0.92,2021-09-29,$0.23,0.39%,25.10,1.21,1242,7.42%,40%,20%,1099,$146.62,$164.31,$160.33,$165.55,50.16,B+,A-,A-,B,B+,A+,5.58,30.77%,29.56%,88.38,3.80%,6.15%
USXF,iShares ESG Advanced MSCI USA ETF,Equity,"$582,539,000.00",-16.12%,"114,405",$33.01,2.58%,No,False,3.19%,0.95%,-5.36%,N/A,N/A,"$130,526,345.00",$0.00,"-$54,435,240.00","$445,771,345.00","$639,875,395.00","$639,875,395.00",Large Cap Growth Equities,2020-06-16,0.10%,N/A,$0.31,2021-09-24,$0.10,0.80%,34.65,1.06,356,28.77%,40%,20%,1099,$30.05,$33.03,$32.41,$33.31,51.86,N/A,N/A,N/A,N/A,N/A,N/A,9.22,98.03%,92.40%,68.77,0.19%,12.10%
SPHB,Invesco S&P 500® High Beta ETF,Equity,"$579,030,000.00",-11.51%,"678,797",$69.77,3.96%,No,False,5.19%,3.76%,-10.24%,89.10%,106.05%,"-$754,947,600.00","$9,481,120.00","-$100,102,200.00","-$1,426,935,240.00","$124,241,260.00","$36,244,410.00",Large Cap Blend Equities,2011-05-05,0.25%,Charles Schwab,$0.81,2021-09-20,$0.19,1.00%,47.58,1.55,102,13.58%,40%,20%,1099,$60.83,$69.56,$68.02,$70.66,53.22,A-,B+,C,C,B+,B-,7.63,34.48%,61.49%,168.23,4.65%,6.80%
ONEV,SPDR Russell 1000 Low Volatility Focus ETF,Equity,"$574,423,000.00",-6.68%,"18,726",$106.18,1.38%,No,False,1.65%,2.01%,2.37%,49.40%,65.54%,"-$1,821,577.63","$1,046,308.58","$1,046,308.58","$29,426,556.85","-$75,504,026.70","-$52,032,072.56",Volatility Hedged Equity,2015-12-02,0.20%,N/A,$1.74,2021-09-20,$0.40,1.58%,18.13,1.01,433,9.56%,40%,20%,1099,$99.44,$106.73,$105.57,$106.49,52.73,C+,A-,N/A,N/A,C,N/A,7.97,95.66%,69.35%,254.58,8.54%,7.02%
IQDF,FlexShares International Quality Dividend Index Fund,Equity,"$572,325,000.00",-8.75%,"96,362",$23.18,1.76%,No,False,1.93%,2.84%,-12.11%,18.37%,13.21%,"$15,284,780.00",$0.00,$0.00,"$56,826,250.00","-$227,603,970.00","-$55,737,210.00",Foreign Large Cap Equities,2013-04-12,0.47%,N/A,$0.90,2021-09-17,$0.34,3.48%,22.01,0.87,196,18.59%,40%,20%,1099,$21.26,$23.28,$22.98,$23.28,54.60,A-,B,N/A,B,A,B,7.52,10.08%,58.71%,414.12,9.15%,5.43%
GLOV,Goldman Sachs ActiveBeta World Low Vol Plus Equity ETF,Equity,"$570,096,000.00",N/A,N/A,$40.16,1.41%,No,False,1.21%,0.10%,N/A,N/A,N/A,"$589,145,000.00",$0.00,"$3,989,000.00","$589,145,000.00","$589,145,000.00","$589,145,000.00",N/A,2022-03-15,0.25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,357,13.59%,40%,20%,1099,$37.97,$40.37,$39.67,$40.40,50.90,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PJAN,Innovator U.S. Equity Power Buffer ETF - January,Equity,"$565,554,000.00",-5.53%,"86,691",$31.43,0.96%,No,False,1.58%,1.42%,-2.43%,17.25%,N/A,"$310,772,750.00","$9,374,250.00","$13,976,250.00","$205,157,750.00","$464,961,250.00","$535,725,000.00",Volatility Hedged Equity,2019-01-02,0.79%,N/A,$0.00,N/A,N/A,0.00%,26.45,0.47,2,100.00%,40%,20%,1099,$30.04,$31.42,$31.17,$31.56,52.53,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PABU,iShares Paris-Aligned Climate MSCI USA ETF,Equity,"$559,994,000.00",N/A,N/A,$45.52,2.36%,No,False,3.58%,0.39%,N/A,N/A,N/A,"$624,068,750.00",$0.00,$0.00,"$624,068,750.00","$624,068,750.00","$624,068,750.00",N/A,2022-02-08,0.10%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,318,30.19%,40%,20%,1099,$41.36,$45.78,$45.52,$45.52,45.88,N/A,N/A,N/A,N/A,N/A,N/A,8.17,74.53%,74.20%,41.71,1.74%,11.23%
IHAK,iShares Cybersecurity & Tech ETF,Equity,"$556,035,000.00",-14.01%,"156,028",$38.36,3.09%,No,False,3.65%,-1.31%,-6.37%,N/A,N/A,"$59,157,250.00","-$3,702,990.00","-$25,018,470.00","$108,462,120.00","$561,574,405.00","$561,574,405.00",Technology Equities,2019-06-11,0.47%,N/A,$0.06,2021-06-10,$0.01,0.13%,27.82,0.88,53,47.53%,40%,20%,1099,$33.58,$38.42,$37.53,$38.80,51.59,N/A,N/A,N/A,N/A,N/A,N/A,7.53,46.19%,59.08%,9.97,10.95%,6.96%
SYLD,Cambria Shareholder Yield ETF,Equity,"$552,816,000.00",-1.01%,"65,637",$63.80,1.41%,No,False,1.77%,4.83%,-2.02%,103.08%,109.05%,"$216,198,000.00","$12,564,000.00","$27,899,500.00","$215,769,000.00","$400,799,500.00","$378,529,032.19",All Cap Equities,2013-05-14,0.59%,Interactive Brokers,$0.86,2021-09-24,$0.10,1.28%,9.09,1.34,101,18.41%,40%,20%,1099,$58.27,$64.29,N/A,N/A,54.33,B,C+,B,A,B-,B-,6.43,6.09%,40.06%,203.28,3.39%,4.41%
EWD,iShares MSCI Sweden ETF,Equity,"$552,301,000.00",-18.89%,"618,032",$37.58,4.36%,No,False,4.91%,4.65%,-19.39%,43.52%,31.98%,"$56,590,605.00",$0.00,"$2,300,497.50","$201,080,445.00","$348,007,380.00","$167,650,830.00",Europe Equities,1996-03-12,0.54%,N/A,$1.42,2021-06-10,$1.12,2.93%,20.94,0.97,46,47.35%,40%,20%,1099,$32.75,$37.25,$36.84,$37.95,55.30,B+,B,B-,B,A-,B-,8.48,24.09%,80.87%,24.0,5.66%,6.34%
IDLV,Invesco S&P International Developed Low Volatility ETF,Equity,"$546,822,000.00",-4.77%,"246,809",$30.17,1.24%,No,False,0.47%,0.56%,-0.28%,2.26%,10.99%,"-$132,913,500.00",$0.00,"-$28,196,450.00","-$198,603,450.00","-$147,688,500.00","$59,739,750.00",Volatility Hedged Equity,2012-01-13,0.25%,Charles Schwab,$0.73,2021-09-20,$0.22,2.30%,17.86,0.62,202,8.18%,40%,20%,1099,$28.74,$30.37,$29.93,$30.30,51.69,A-,A,C+,A,A,C,8.89,59.68%,87.63%,237.55,6.81%,12.34%
RTM,Invesco S&P 500® Equal Weight Materials ETF,Equity,"$543,259,000.00",2.62%,"53,329",$184.01,2.31%,No,False,2.01%,2.66%,6.74%,97.93%,106.35%,"$122,960,420.00","-$8,400.00","-$26,461,770.00","-$42,421,760.00","$280,500,010.00","$275,931,360.00",Materials,2006-11-01,0.40%,Charles Schwab,$2.39,2021-09-20,$0.64,1.34%,15.26,1.11,29,39.56%,40%,20%,1099,$170.25,$184.42,$181.98,$185.09,54.82,B,B+,A-,A,B+,C+,8.69,80.46%,84.40%,628.16,3.69%,4.11%
TLTD,FlexShares Morningstar Developed Markets ex-US Factor Tilt,Equity,"$542,932,000.00",-8.72%,"29,203",$65.57,1.91%,No,False,1.84%,3.20%,-10.04%,22.79%,19.82%,"-$24,598,120.00","-$12,979,500.00","-$12,979,500.00","-$24,832,960.00","-$428,162,280.00","-$241,166,660.00",Global Equities,2012-09-28,0.39%,N/A,$1.51,2021-09-17,$0.34,2.04%,25.72,0.94,2975,7.37%,40%,20%,1099,$59.93,$65.74,$64.98,$65.86,54.74,B+,B+,N/A,B+,B+,A+,7.97,17.05%,69.32%,186.37,8.13%,6.90%
FLGB,Franklin FTSE United Kingdom ETF,Equity,"$542,790,000.00",-1.81%,"181,612",$24.94,1.84%,No,False,0.77%,3.19%,-1.42%,18.44%,N/A,"-$41,077,500.00",$0.00,"-$42,341,000.00","$338,945,000.00","$532,858,500.00","$558,604,000.00",Europe Equities,2017-11-02,0.09%,N/A,$0.70,2021-06-10,$0.42,2.76%,16.53,0.96,118,49.67%,40%,20%,1099,$22.68,$25.30,$24.67,$25.08,54.58,N/A,N/A,N/A,N/A,N/A,N/A,10.0,100.00%,100.00%,127.63,15.21%,2.90%
CATH,Global X S&P 500 Catholic Values Custom ETF,Equity,"$542,222,000.00",-13.16%,"63,723",$51.16,1.99%,No,False,3.06%,0.93%,-1.46%,57.17%,84.57%,"-$3,251,522.05","-$10,832.75","-$44,425,716.56","$31,263,387.80","$159,437,219.55","$285,634,568.66",Large Cap Growth Equities,2016-04-18,0.29%,N/A,$0.55,2021-06-29,$0.22,0.95%,32.67,1.01,448,27.36%,40%,20%,1099,$47.02,$51.40,$50.29,$51.59,51.10,N/A,B+,N/A,N/A,N/A,A,8.18,75.02%,74.36%,156.42,4.55%,5.42%
